# https://onlinesequencer.net/1914040
bpm = 140
ref = 0.25
698 A4 2 0
700 C5 2 0
702 D#5 2 0
704 G#3 2 0
706 F4 2 0
708 B4 2 0
710 C5 2 0
712 D5 2 0
714 B4 2 0
716 C5 2 0
718 D5 2 0
720 G#3 2 0
722 F4 2 0
724 B4 2 0
726 C5 2 0
728 D5 2 0
730 B4 2 0
732 C5 2 0
734 D5 2 0
736 G3 2 0
738 F4 2 0
740 G4 2 0
742 B4 2 0
744 D5 2 0
746 G4 2 0
748 B4 2 0
750 D5 2 0
752 G3 2 0
754 F4 2 0
756 G4 2 0
758 B4 2 0
760 D5 2 0
762 G4 2 0
764 B4 2 0
766 D5 2 0
768 G3 2 0
770 E4 2 0
772 G4 2 0
774 C5 2 0
776 E5 2 0
778 G4 2 0
780 C5 2 0
782 E5 2 0
784 G3 2 0
786 E4 2 0
788 G4 2 0
790 C5 2 0
792 E5 2 0
794 G4 2 0
796 C5 2 0
798 E5 2 0
800 G3 2 0
802 D4 2 0
804 G4 2 0
806 C5 2 0
808 F5 2 0
810 G4 2 0
812 C5 2 0
814 F5 2 0
816 G3 2 0
818 D4 2 0
820 G4 2 0
822 C5 2 0
824 F5 2 0
826 G4 2 0
828 C5 2 0
830 F5 2 0
832 G3 2 0
834 D4 2 0
836 G4 2 0
838 B4 2 0
840 F5 2 0
842 G4 2 0
844 B4 2 0
846 F5 2 0
848 G3 2 0
850 D4 2 0
852 G4 2 0
854 B4 2 0
856 F5 2 0
858 G4 2 0
860 B4 2 0
862 F5 2 0
864 G3 2 0
866 D#4 2 0
868 A4 2 0
870 C5 2 0
872 F#5 2 0
874 A4 2 0
876 C5 2 0
878 F#5 2 0
880 G3 2 0
882 D#4 2 0
884 A4 2 0
886 C5 2 0
888 F#5 2 0
890 A4 2 0
892 C5 2 0
894 F#5 2 0
896 G3 2 0
898 E4 2 0
900 G4 2 0
902 C5 2 0
904 G5 2 0
906 G4 2 0
908 C5 2 0
910 G5 2 0
912 G3 2 0
914 E4 2 0
916 G4 2 0
918 C5 2 0
920 G5 2 0
922 G4 2 0
924 C5 2 0
926 G5 2 0
928 G3 2 0
930 D4 2 0
932 G4 2 0
934 C5 2 0
936 F5 2 0
938 G4 2 0
940 C5 2 0
942 F5 2 0
944 G3 2 0
946 D4 2 0
948 G4 2 0
950 C5 2 0
952 F5 2 0
954 G4 2 0
956 C5 2 0
958 F5 2 0
960 G3 2 0
962 D4 2 0
964 G4 2 0
966 B4 2 0
968 F5 2 0
970 G4 2 0
972 B4 2 0
974 F5 2 0
976 G3 2 0
978 D4 2 0
980 G4 2 0
982 B4 2 0
984 F5 2 0
986 G4 2 0
988 B4 2 0
990 F5 2 0
992 C4 2 0
994 E4 2 0
996 G4 2 0
998 C5 2 0
1000 E5 2 0
1002 G4 2.25 0
1004.25 C5 2.25 0
1006.5 E5 2.25 0
1008.75 C5 2.25 0
1011 E5 2.25 0
1013.25 G5 2.25 0
1015.5 E5 2.25 0
1017.75 G5 2.25 0
1020 B5 2.25 0
1022.25 G5 2.25 0
1024.5 E5 2.5 0
1027 B4 2 0
1029 C4 2 0
1031 D5 2 0
1033 E4 2 0
1035 E5 2 0
1037 G4 8 0
